Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Angle_X,Angle_Y,Angle_Z,Mouse,Keyboard
1753171151.9185176,0.247,0.229,0.941,1.526,0.0,0.122,13.74,-14.6,-57.67,True,False
1753171152.0245433,0.226,0.233,0.939,-0.061,0.305,-0.366,13.83,-14.41,-57.69,True,False
1753171152.1135633,0.292,0.222,0.918,1.038,-15.747,4.456,13.77,-14.71,-57.71,True,True
1753171152.2190483,0.171,0.271,0.957,-3.54,7.202,0.427,13.4,-15.35,-57.54,True,True
1753171152.3100712,0.241,0.248,0.947,-6.348,-13.123,-20.874,12.83,-14.7,-57.84,True,True
1753171152.4140918,0.253,0.246,0.937,4.089,-13.733,-7.935,12.93,-14.51,-58.84,True,True
1753171152.5201159,0.246,0.251,0.908,-3.723,6.104,-9.521,13.27,-14.6,-59.84,True,True
1753171152.6101375,0.326,0.208,0.913,-19.226,5.493,4.395,12.45,-14.51,-60.22,True,True
1753171152.7151604,0.202,0.187,0.961,-7.385,4.028,2.258,12.72,-14.45,-59.6,True,True
1753171152.8201838,0.239,0.174,0.964,-2.563,-16.174,32.532,11.01,-13.38,-57.71,True,True
1753171152.909204,0.15,0.147,0.929,-7.446,-1.648,15.686,10.07,-13.82,-55.61,True,True
1753171153.0144367,0.186,0.172,0.941,-4.028,10.132,3.357,9.83,-12.82,-54.79,True,True
1753171153.1194608,0.213,0.109,0.956,6.165,5.249,5.31,9.92,-12.82,-53.92,True,True
1753171153.2134812,0.356,0.107,0.991,2.686,-1.892,14.038,9.29,-13.33,-53.41,True,True
1753171153.314515,0.218,0.13,0.982,-30.884,-11.719,12.817,7.19,-15.14,-52.16,True,True
1753171153.4035347,0.221,0.127,0.942,-7.019,-0.488,-7.202,7.12,-14.3,-52.38,True,True
1753171153.5125601,0.16,0.122,0.966,17.944,4.089,-3.784,7.66,-14.01,-52.59,False,True
1753171153.6145823,0.254,0.174,1.012,3.418,7.568,3.845,8.24,-12.8,-53.26,False,True
1753171153.7036033,0.17,0.177,0.976,14.526,-2.869,-12.878,10.35,-12.26,-53.59,False,True
1753171153.8097994,0.227,0.17,0.965,-1.831,-1.16,-4.761,10.55,-11.38,-54.79,False,True
1753171153.9147484,0.149,0.208,0.981,3.723,-1.892,-7.446,11.04,-11.46,-55.5,False,True
1753171154.004768,0.14,0.259,0.929,10.986,-5.981,6.104,11.89,-11.51,-55.79,False,True
1753171154.1087916,0.267,0.161,0.957,-30.884,0.0,1.099,12.05,-11.45,-55.98,False,True
1753171154.2168164,0.154,0.172,0.955,-16.113,-0.671,7.019,9.73,-12.25,-55.05,False,True
1753171154.3038363,0.205,0.096,0.956,-4.211,-15.869,10.071,8.23,-12.83,-54.43,False,True
1753171154.4129732,0.346,0.097,1.027,-8.85,-0.244,-4.639,8.04,-13.61,-54.56,False,True
1753171154.5139964,0.131,0.144,0.978,-15.503,-14.16,6.958,7.15,-14.71,-54.16,False,True
1753171154.607018,0.191,0.124,0.955,7.568,-6.226,3.845,7.31,-13.94,-54.21,False,True
1753171154.709203,0.244,0.124,0.964,-2.625,8.362,-11.047,7.2,-13.29,-55.05,False,True
1753171154.799225,0.206,0.126,0.968,5.92,1.892,-0.427,7.54,-13.24,-55.32,False,True
1753171154.904247,0.237,0.106,0.973,0.0,2.38,0.305,7.7,-12.94,-55.43,False,True
1753171155.0092728,0.249,0.152,0.962,6.226,1.221,-0.305,7.84,-13.11,-55.38,False,True
1753171155.0992916,0.229,0.116,0.967,-3.174,-3.906,1.77,8.21,-13.33,-55.41,False,True
1753171155.2033157,0.218,0.126,0.961,-0.732,0.916,2.136,7.71,-13.18,-55.31,False,True
1753171155.3098538,0.224,0.139,0.954,1.709,0.854,1.953,7.7,-13.18,-55.19,False,True
1753171155.4008718,0.185,0.164,0.953,0.977,0.366,-1.343,7.77,-13.15,-55.12,False,True
1753171155.503894,0.193,0.086,0.968,3.845,6.47,-1.465,8.16,-13.01,-55.26,False,True
1753171155.6089184,0.297,0.144,0.947,2.319,-9.399,9.155,8.2,-13.67,-55.65,False,True
1753171155.699939,0.212,0.141,0.965,5.127,9.155,-8.911,8.43,-15.14,-55.55,False,True
1753171155.804992,0.244,0.125,0.973,-5.554,6.104,0.305,8.15,-13.87,-56.03,False,True
1753171155.8940125,0.219,0.173,0.962,5.31,6.348,-3.906,8.27,-13.43,-56.11,False,True
1753171156.0000355,0.212,0.126,0.971,4.15,3.296,-0.793,9.18,-12.82,-56.27,False,True
1753171156.1040597,0.216,0.145,0.971,0.427,1.648,-2.686,9.32,-12.44,-56.29,False,True
1753171156.1951325,0.199,0.207,0.951,10.742,-5.798,-2.869,9.83,-12.49,-56.58,False,True
1753171156.2991536,0.311,0.205,0.942,2.808,-23.682,2.136,10.81,-13.36,-57.08,False,True
1753171156.4051785,0.329,0.162,0.946,1.221,2.136,-2.319,11.16,-14.82,-57.15,False,True
1753171156.4941986,0.268,0.247,0.965,-3.723,16.479,12.878,10.61,-14.63,-56.52,False,True
