Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Angle_X,Angle_Y,Angle_Z,Mouse,Keyboard
1753172785.1408465,0.134,0.169,0.975,-0.122,0.977,0.0,10.3,-6.99,-74.35,False,False
1753172785.2308671,0.134,0.178,0.976,0.244,-0.122,-0.122,10.27,-6.97,-74.34,False,False
1753172785.335891,0.134,0.166,0.976,0.366,-0.305,0.183,10.28,-6.99,-74.34,False,False
1753172785.4409146,0.131,0.175,0.975,0.183,-0.732,0.244,10.26,-6.97,-74.34,False,False
1753172785.5309796,0.118,0.167,0.977,0.305,-0.854,0.244,10.27,-7.0,-74.34,False,False
1753172785.636003,0.104,0.174,0.98,0.061,-0.793,0.244,10.24,-7.0,-74.34,False,False
1753172785.7260242,0.11,0.167,0.977,1.038,-0.61,-0.061,10.25,-7.0,-74.36,False,False
1753172785.831047,0.108,0.169,0.977,-0.366,0.488,-0.122,10.26,-6.99,-74.36,False,False
1753172785.941072,0.117,0.175,0.978,0.366,-0.183,0.0,10.25,-6.98,-74.37,False,False
1753172786.0260916,0.138,0.171,0.975,-0.244,1.282,-0.427,10.27,-7.0,-74.36,False,False
1753172786.131115,0.131,0.179,0.975,0.183,-0.122,-0.122,10.26,-7.01,-74.37,False,False
1753172786.236596,0.122,0.17,0.977,0.0,0.0,0.122,10.28,-7.03,-74.38,False,False
1753172786.3266158,0.129,0.177,0.974,0.0,-0.671,0.305,10.25,-7.01,-74.37,False,False
1753172786.4306388,0.123,0.165,0.977,0.793,-0.61,0.0,10.28,-7.06,-74.38,False,False
1753172786.536781,0.115,0.17,0.978,0.61,-0.122,0.0,10.27,-6.99,-74.38,False,False
1753172786.6258013,0.125,0.174,0.978,0.366,-0.61,-0.061,10.29,-6.97,-74.39,False,False
1753172786.7308252,0.129,0.174,0.976,-0.244,0.61,-0.183,10.31,-6.99,-74.41,False,False
1753172786.8357573,0.129,0.174,0.978,-0.122,0.488,-0.122,10.3,-7.0,-74.42,False,False
1753172786.9267778,0.133,0.17,0.977,0.122,0.549,0.122,10.3,-6.98,-74.41,False,False
1753172787.0308037,0.123,0.174,0.975,0.244,0.366,0.061,10.29,-6.92,-74.39,False,False
1753172787.1208243,0.124,0.169,0.977,0.061,0.0,0.244,10.31,-6.91,-74.38,False,False
1753172787.225848,0.13,0.177,0.975,0.488,-1.404,0.061,10.31,-6.93,-74.39,False,False
1753172787.3348722,0.114,0.169,0.976,0.0,0.122,0.0,10.32,-6.97,-74.4,False,False
1753172787.4208925,0.115,0.174,0.977,0.061,0.0,0.0,10.3,-6.92,-74.4,False,False
